Email,Phone,Social Media Links
N/A,N/A,N/A
info@niec.edu.np,9801030907,"https://www.instagram.com/niecktm/, https://www.facebook.com/niecktm"
N/A,N/A,"https://www.facebook.com/nepaliconsultancy, https://www.instagram.com/nepali_consultancy/"
info@agcnepal.com,N/A,"https://www.facebook.com/AlightGroup/, https://www.instagram.com/explore/locations/106570296151957/alight-group-of-consultants-pvt-ltd/, https://twitter.com/alightgroup"
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
"marketing@collegesnepal.com, info@collegesnepal.com","9818241628, 9801169142, 9801100988",https://www.facebook.com/college.nepal
info@niec.edu.np,9801030907,"https://www.instagram.com/niecktm/, https://www.facebook.com/niecktm"
"info@consultancynepal.com, birateducation@outlook.com",N/A,N/A
"marketing@collegesnepal.com, info@collegesnepal.com","9818241628, 9801100988",https://www.facebook.com/college.nepal
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
info@edwisefoundation.com,N/A,"https://twitter.com/edwisefoundatio, https://www.instagram.com/edwisefoundation/, https://www.facebook.com/edwisefoundation/, https://www.linkedin.com/company/edwise-foundation"
N/A,N/A,"https://www.instagram.com/idpnepal/, https://www.facebook.com/IDPstudyabroad.nepal/, https://www.linkedin.com/company/idp-education-nepal/"
info@edwisefoundation.com,N/A,"https://twitter.com/edwisefoundatio, https://www.instagram.com/edwisefoundation/, https://www.facebook.com/edwisefoundation/, https://www.linkedin.com/company/edwise-foundation"
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
"info@ausstudies.edu.np, parramatta@ausstudies.com.au, kabita@ausstudies.edu.np, mohan@ausstudies.com.au, butwal@ausstudies.edu.np, b.shrestha@ausstudies.com.au, pokhara@ausstudies.edu.np",9851241198,"https://www.linkedin.com/company/ausstudiesnepal/, https://www.facebook.com/ausstudies, https://www.instagram.com/ausstudiesnepal/"
N/A,N/A,N/A
N/A,N/A,"https://www.instagram.com/idpnepal/, https://www.facebook.com/IDPstudyabroad.nepal/, https://www.linkedin.com/company/idp-education-nepal/"
info@abroadadvise.com,N/A,N/A
info@abroadadvise.com,N/A,N/A
N/A,N/A,N/A
info@abroadadvise.com,N/A,N/A
N/A,N/A,"https://www.facebook.com/AECCNepal/, https://www.instagram.com/aecc.nepal/, https://www.linkedin.com/company/aecc-global-nepal/"
N/A,N/A,"https://www.facebook.com/profile.php?id=100079232435291, https://www.facebook.com/jasso.japanalumniglobalnetwork, https://www.instagram.com/JASSO_study_in_japan/"
N/A,N/A,"https://www.facebook.com/jasso.studentexchange, https://twitter.com/JASSO_general"
N/A,N/A,"https://www.facebook.com/profile.php?id=100079232435291, https://www.instagram.com/JASSO_study_in_japan/, https://www.facebook.com/JASSO.KL, https://www.facebook.com/JASSO.Thailand, https://www.facebook.com/jasso.indonesia, https://www.facebook.com/JASSO.Vietnam, https://www.facebook.com/JASSO.Korea, https://www.instagram.com/jasso.korea"
N/A,N/A,"https://www.facebook.com/AECCNepal/, https://www.instagram.com/aecc.nepal/, https://www.linkedin.com/company/aecc-global-nepal/"
N/A,N/A,N/A
"info@gatewayeducation.com.np, info@abroadadvise.com, info@edwisefoundation.com, info@sagipnepal.com, student.nepal@aeccglobal.com, info@ausstudies.edu.np, info@dolphineducation.com.np, info@bizzeducation.co.uk, info@hardford.com.np, ktmpromote@globalreachonline.com, info@educationtreeglobal.com",N/A,N/A
N/A,N/A,"https://www.facebook.com/jasso.studentexchange, https://twitter.com/JASSO_general"
N/A,N/A,N/A
N/A,N/A,N/A
info@niec.edu.np,9801030907,"https://www.instagram.com/niecktm/, https://www.facebook.com/niecktm"
N/A,N/A,N/A
N/A,N/A,"https://www.facebook.com/jasso.studentexchange, https://twitter.com/JASSO_general, https://www.facebook.com/jasso.japanalumniglobalnetwork"
"info@consultancynepal.com, contact@apurbaeducation.com.np",N/A,N/A
N/A,N/A,"https://www.facebook.com/AECCNepal/, https://www.instagram.com/aecc.nepal/, https://www.linkedin.com/company/aecc-global-nepal/"
"info@consultancynepal.com, dipendra.286@gmail.com",N/A,N/A
N/A,N/A,"https://www.instagram.com/idp_studyabroad/, https://www.facebook.com/IDPstudyabroad"
N/A,N/A,"https://www.facebook.com/jasso.studentexchange, https://twitter.com/JASSO_general, https://www.facebook.com/jasso.japanalumniglobalnetwork"
N/A,N/A,N/A
info@abroadadvise.com,N/A,N/A
N/A,N/A,"https://www.facebook.com/jasso.studentexchange, https://twitter.com/JASSO_general"
N/A,N/A,"https://www.instagram.com/idp_studyabroad/, https://www.facebook.com/IDPstudyabroad"
Coursesinfo@ahzassociates.co.uk,N/A,"https://www.instagram.com/ahzassociates, https://twitter.com/AHZAssociates, https://www.facebook.com/ahzassociates, https://www.linkedin.com/company/ahzassociates"
N/A,N/A,"https://www.facebook.com/jasso.studentexchange, https://twitter.com/JASSO_general"
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
"info@abroadadvise.com, info@educationtreeglobal.com, info@edwisefoundation.com, ktmpromote@globalreachonline.com",N/A,N/A
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
Coursesinfo@ahzassociates.co.uk,N/A,"https://www.instagram.com/ahzassociates, https://twitter.com/AHZAssociates, https://www.facebook.com/ahzassociates, https://www.linkedin.com/company/ahzassociates"
info@niec.edu.np,9801030907,"https://www.instagram.com/niecktm/, https://www.facebook.com/niecktm"
ask@vevsglobal.com.np,9851332025,"https://www.linkedin.com/company/vevs-global/?trk=public_profile_experience-item_result-card_image-click&originalSubdomain=np, https://www.instagram.com/vevsnepal/?hl=en, https://www.facebook.com/vevsnepal/"
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
N/A,N/A,N/A
N/A,N/A,"https://www.linkedin.com/company/gaijinpot, https://twitter.com/GaijinPot, https://www.instagram.com/gaijinpot/, https://www.facebook.com/GaijinPot"
info@consultancynepal.com,N/A,N/A
ask@vevsglobal.com.np,9851332025,"https://www.linkedin.com/company/vevs-global/?trk=public_profile_experience-item_result-card_image-click&originalSubdomain=np, https://www.instagram.com/vevsnepal/?hl=en, https://www.facebook.com/vevsnepal/"
info@consultancynepal.com,N/A,N/A
icla.contact@c2c.ac.jp,N/A,"https://www.linkedin.com/school/icla-ygu/, https://www.instagram.com/icla.ygu/, https://www.instagram.com/icla.ygu, https://www.facebook.com/iclajapan/, https://twitter.com/icla_ygu?lang=en%20, https://twitter.com/icla_ygu"
info@consultancynepal.com,"9855061513, 9856039212",N/A
icla.contact@c2c.ac.jp,N/A,"https://www.instagram.com/icla.ygu, https://www.facebook.com/iclajapan/, https://twitter.com/icla_ygu?lang=en%20, https://www.linkedin.com/school/icla-ygu/"
"butwal@fasttrack.edu.np, birtamod@fasttrack.edu.np, info@fasttrack.edu.np, birtamod@fastrack.edu.np",9803893580,https://www.facebook.com/fasttrackedu
N/A,N/A,"https://www.linkedin.com/company/gaijinpot, https://twitter.com/GaijinPot, https://www.instagram.com/gaijinpot/, https://www.facebook.com/GaijinPot"
N/A,N/A,"https://www.facebook.com/jasso.studentexchange, https://twitter.com/JASSO_general"
N/A,N/A,N/A
N/A,N/A,"https://www.facebook.com/Eduvibe.com.np, https://www.instagram.com/eduvibe2018/"
info@niec.edu.np,9801030907,"https://www.instagram.com/niecktm/, https://www.facebook.com/niecktm"
N/A,N/A,"https://www.facebook.com/jasso.studentexchange, https://twitter.com/JASSO_general"
"butwal@fasttrack.edu.np, info@fasttrack.edu.np, birtamod@fasttrack.edu.np",9803893580,https://www.facebook.com/fasttrackedu
N/A,N/A,N/A
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
"butwal@studyin-uk.com, chitwan@studyin-uk.com, kathmandu@studyin-uk.com, pokhara@studyin-uk.com",9802589313,"https://www.instagram.com/si_uknepal/, https://twitter.com/SI_UK_Nepal/, https://www.linkedin.com/company/1319527/, https://www.facebook.com/nepalsiuk/"
N/A,N/A,"https://www.facebook.com/AECCNepal/, https://www.instagram.com/aecc.nepal/, https://www.linkedin.com/company/aecc-global-nepal/"
N/A,N/A,"https://www.facebook.com/I-Love-You-Nepal-103534949005626, http://www.linkedin.com/company/nepal-business-directory"
N/A,N/A,N/A
"butwal@studyin-uk.com, chitwan@studyin-uk.com, kathmandu@studyin-uk.com, pokhara@studyin-uk.com",9802589313,"https://www.instagram.com/si_uknepal/, https://twitter.com/SI_UK_Nepal/, https://www.linkedin.com/company/1319527/, https://www.facebook.com/nepalsiuk/"
N/A,N/A,"https://www.facebook.com/I-Love-You-Nepal-103534949005626, http://www.linkedin.com/company/nepal-business-directory"
N/A,N/A,"https://www.facebook.com/AECCNepal/, https://www.instagram.com/aecc.nepal/, https://www.linkedin.com/company/aecc-global-nepal/"
"info@abroadadvise.com, ktmpromote@globalreachonline.com, info@educationtreeglobal.com",N/A,N/A
"Nepalinfo@miracle.edu.np, miraclepkr@gmail.com, info@miracle.edu.npBook",N/A,N/A
N/A,N/A,N/A
"marketing@collegesnepal.com, info@collegesnepal.com","9818241628, 9801169142, 9801100988",https://www.facebook.com/college.nepal
"Nepalinfo@miracle.edu.np, miraclepkr@gmail.com, info@miracle.edu.npBook",N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
N/A,N/A,"https://twitter.com/NepaliConsultan, https://www.instagram.com/nepali_consultancy/, https://www.facebook.com/nepaliconsultancy/"
info@consultancynepal.com,N/A,N/A
N/A,N/A,"https://www.facebook.com/AECCNepal/, https://www.instagram.com/aecc.nepal/, https://www.linkedin.com/company/aecc-global-nepal/"
info@consultancynepal.com,N/A,N/A
N/A,N/A,N/A
"1310Emailinfo@milesinternational.com.au, 255Emailinfo@milesinternational.com.au, Addressinfo@milesinternational.com.auCanberra, Addressnepalmiles@gmail.com, Addressinfo@milesinternational.com.auNepal, info@milesinternational.com.npMiles, 1-4104283Emailinfo@milesinternational.com.np",N/A,"https://www.linkedin.com/company/26507218/, https://www.instagram.com/milesinternationalconsultancy/, https://www.facebook.com/MilesInternationalConsultancy"
info@consultancynepal.com,N/A,N/A
N/A,N/A,"https://www.linkedin.com/company/livechat/, https://www.facebook.com/livechat, https://www.instagram.com/livechat/, https://twitter.com/intent/follow?screen_name=LiveChat"
"info@ausstudies.edu.np, parramatta@ausstudies.com.au, kabita@ausstudies.edu.np, mohan@ausstudies.com.au, butwal@ausstudies.edu.np, b.shrestha@ausstudies.com.au, pokhara@ausstudies.edu.np",9851241198,"https://www.linkedin.com/company/ausstudiesnepal/, https://www.facebook.com/ausstudies, https://www.instagram.com/ausstudiesnepal/"
info@consultancynepal.com,N/A,N/A
N/A,N/A,N/A
N/A,N/A,"https://www.linkedin.com/company/livechat/, https://www.facebook.com/livechat, https://www.instagram.com/livechat/, https://twitter.com/intent/follow?screen_name=LiveChat"
"marketing@collegesnepal.com, info@collegesnepal.com","9849058418, 9849525567, 9851232080, 9818241628, 9801100988",https://www.facebook.com/college.nepal
info@consultancynepal.com,N/A,N/A
"info@abroadadvise.com, ktmpromote@globalreachonline.com, info@edwisefoundation.com, info@educationtreeglobal.com",N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
info@consultancynepal.com,N/A,N/A
N/A,N/A,N/A
N/A,N/A,"https://www.linkedin.com/company/1875016/, https://www.instagram.com/educationscom/?utm_source=EDU&utm_medium=home-page-user-journey, https://www.facebook.com/educationscom/, https://www.instagram.com/educationscom/"
N/A,N/A,"https://www.facebook.com/profile.php?id=100088855584445, https://www.instagram.com/afnovisaguide"
N/A,N/A,N/A
N/A,N/A,"https://www.facebook.com/profile.php?id=100088855584445, https://www.instagram.com/afnovisaguide"
"info@abroadadvise.com, info@educationtreeglobal.com, student.nepal@aeccglobal.com, ktmpromote@globalreachonline.com",N/A,N/A
N/A,N/A,"https://www.facebook.com/pages/JAPAN-STUDY-SUPPORT/238754272840327, https://www.instagram.com/japan_study_support/"
grievance@uniagents.com,N/A,"https://www.facebook.com/uniagents?ref=br_tf, https://www.linkedin.com/company/uniagents?trk=company_logo"
N/A,N/A,N/A
N/A,9849194949,"https://twitter.com/graceintlgroup/, https://twitter.com/graceintlgroup?lang=en, https://www.twitter.com/graceintlgroup/, https://www.instagram.com/graceintlgroup/, https://www.facebook.com/graceintlgroup/"
N/A,N/A,N/A
N/A,N/A,N/A
info@consultancynepal.com,N/A,N/A
info@niec.edu.np,9801030907,"https://www.instagram.com/niecktm/, https://www.facebook.com/niecktm"
N/A,9849194949,"https://twitter.com/graceintlgroup/, https://twitter.com/graceintlgroup?lang=en, https://www.twitter.com/graceintlgroup/, https://www.instagram.com/graceintlgroup/, https://www.facebook.com/graceintlgroup/"
N/A,N/A,N/A
N/A,N/A,"https://www.linkedin.com/company/99828520/admin/feed/posts/, https://www.facebook.com/birtamodeeducation"
enquiry@educationtreeglobal.com,N/A,"https://twitter.com/EducationTreeG?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor, https://www.instagram.com/educationtree.global/, https://www.facebook.com/EducationTreeGlobal/, https://www.linkedin.com/company/education-tree-global/"
N/A,N/A,N/A
N/A,N/A,"https://twitter.com/EducationTreeG?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor, https://www.instagram.com/educationtree.global/, https://www.facebook.com/EducationTreeGlobal/, https://www.linkedin.com/company/education-tree-global/"
"4titi.official@gmail.com, info@titi.org.np",N/A,https://www.facebook.com/titictevt/
N/A,N/A,"https://www.facebook.com/ieltsbyidp, https://www.instagram.com/ieltsbyidp/"
N/A,N/A,"https://www.facebook.com/idpieltsnepal, https://www.instagram.com/ieltsidpnepal"
info@niec.edu.np,9801030907,"https://www.instagram.com/niecktm/, https://www.facebook.com/niecktm"
N/A,N/A,"https://www.facebook.com/experteducationau, https://twitter.com/eevsHQ, https://www.linkedin.com/company/expert-education-visa-services/, https://www.instagram.com/experteducationofficial"
N/A,N/A,N/A
info@ktmeducational.edu.np,N/A,"https://www.facebook.com/KTMIMMIGRATION, https://www.instagram.com/ktmeducational/"
